City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Amahai,ID,83.07,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
22,Vaini,TO,77.16,moderate rain,-21.2,-175.2,Keleti Beach Resort
23,Mahibadhoo,MV,82.53,overcast clouds,3.7833,72.9667,Omadhoo Inn
25,Addanki,IN,86.05,overcast clouds,15.8167,79.9833,Shanthi residency
32,Bani,DO,78.75,few clouds,18.2833,-70.3333,Hospedaje Henriquez
34,Komsomolskiy,UZ,84.92,scattered clouds,40.4272,71.7189,Ikathouse
36,Cockburn Town,TC,82.33,clear sky,21.4612,-71.1419,Osprey Beach Hotel
38,Aksu,CN,88.81,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
47,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
48,Makakilo City,US,84.52,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
50,San Miguel,SV,78.49,overcast clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
53,Kapaa,US,85.98,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,Gombong,ID,87.84,broken clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
62,Udachnyy,RU,78.12,clear sky,66.4167,112.4,Severnoye Siyaniye
64,Lorengau,PG,84.2,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
66,La Reforma,MX,87.15,clear sky,25.0833,-108.05,Hotel Reforma
69,Iralaya,HN,79.86,broken clouds,15.0,-83.2333,Iglesia morava renovada
75,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
77,Auki,SB,81.46,moderate rain,-8.7676,160.7034,Auki Motel
78,Namatanai,PG,83.89,light rain,-3.6667,152.4333,Seagulls Inn Namatani
81,Katobu,ID,85.08,overcast clouds,-4.9408,122.5276,La Ode Husein
83,Kavieng,PG,83.82,light rain,-2.5744,150.7967,Nusa Island Retreat
88,Daru,PG,76.14,moderate rain,-9.0763,143.2092,Daru Lodge
90,Careiro Da Varzea,BR,77.61,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
91,Khatanga,RU,84.24,clear sky,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
94,Meulaboh,ID,79.12,overcast clouds,4.1363,96.1285,Kost Pria
95,Xingcheng,CN,77.02,overcast clouds,40.6167,120.7167,New Century Hotel
101,Puri,IN,84.72,light rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
105,Malkangiri,IN,80.35,overcast clouds,18.35,81.9,Girls' Hostel
109,Labuhan,ID,86.13,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
120,Butaritari,KI,80.37,light rain,3.0707,172.7902,Isles Sunset Lodge
124,Port Hueneme,US,84.65,overcast clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
129,Jinxiang,CN,84.67,light rain,27.4327,120.6062,Wolong Village
130,Nancha,CN,75.33,overcast clouds,47.1333,129.2667,Communications Hotel
131,Yulara,AU,78.64,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
138,Waingapu,ID,86.9,clear sky,-9.6567,120.2641,Pondok Wisata Elim
140,Vrangel,RU,79.27,overcast clouds,42.7297,133.0839,"Отель ""БАЛИ"""
144,Jiazi,CN,87.93,broken clouds,22.8779,116.067,Hotel Jin Hao
148,Kokopo,PG,83.7,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
150,Luganville,VU,78.73,few clouds,-15.5333,167.1667,The Espiritu Hotel
153,Georgetown,MY,88.9,few clouds,5.4112,100.3354,Cititel Penang
156,Caucaia,BR,83.07,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
161,Galle,LK,82.35,broken clouds,6.0367,80.217,Amangalla
163,Tubuala,PA,79.34,overcast clouds,9.5167,-79.0333,Río Nabagana
164,Karwar,IN,79.72,overcast clouds,14.8,74.1333,Netalco Connects
166,Marsa Matruh,EG,75.4,clear sky,31.3525,27.2453,Beau Site
169,Lichuan,CN,87.76,scattered clouds,30.3,108.85,Yicheng Hotel
170,Barra Dos Coqueiros,BR,77.02,overcast clouds,-10.9089,-37.0386,Jangadeiro
176,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
178,Itarema,BR,78.44,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
185,Shizunai,JP,76.87,clear sky,42.3339,142.3669,Shizunai Eclipse Hotel
187,Hyderabad,IN,76.51,mist,17.3753,78.4744,Star Inn
188,Denpasar,ID,83.86,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
191,Naze,JP,83.32,light rain,28.3667,129.4833,奄美ポートタワーホテル
194,Touros,BR,76.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
196,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
200,Bardiyah,LY,78.44,clear sky,31.7561,25.0865,بورتو بردية
204,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
211,Isla Mujeres,MX,84.16,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
212,Coahuayana,MX,78.15,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
216,Jieshi,CN,86.95,broken clouds,22.8134,115.8257,Yuehai Hotel
218,Baoshan,CN,84.43,overcast clouds,46.5586,131.4244,Kelaixiang Restaurant
221,Suluq,LY,79.68,clear sky,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
222,Darnah,LY,82.67,clear sky,32.767,22.6367,فندق الفردوس
225,Atuona,PF,77.31,scattered clouds,-9.8,-139.0333,Villa Enata
231,Biak,ID,82.09,scattered clouds,-0.9131,122.8766,Penginapan Kim
238,Bengkulu,ID,84.97,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
239,Sabang,ID,82.26,overcast clouds,5.8933,95.3214,Hotel Citra
245,Saint George,US,85.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
246,Port-Gentil,GA,75.34,broken clouds,-0.7193,8.7815,Fengshui Residence
250,Najran,SA,86.65,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
255,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
256,Ewa Beach,US,83.57,clear sky,21.3156,-158.0072,Uncle Junior Robert
257,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
258,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
262,Kantang,TH,86.09,scattered clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
264,Shu,KZ,86.05,clear sky,43.5983,73.7614,Shyngyzkhan
268,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,Will T Place
270,Airai,TL,77.32,clear sky,-8.9266,125.4092,Juvinal Martin
272,Lamar,US,85.66,clear sky,33.6668,-95.5836,Kings Inn Paris TX
275,Faanui,PF,77.76,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
278,Chabahar,IR,85.21,broken clouds,25.2919,60.643,هتل گدروشیا
279,Sinnamary,GF,77.63,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
281,Samarai,PG,80.38,broken clouds,-10.6167,150.6667,Nuli Sapi
284,Atambua,ID,84.65,clear sky,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
290,Havelock,US,82.94,clear sky,34.8791,-76.9013,Sherwood Motel
292,Honiara,SB,82.0,overcast clouds,-9.4333,159.95,Heritage Park Hotel
294,Natal,BR,75.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
295,Zhanaozen,KZ,83.7,clear sky,43.3,52.8,K.korabay 28A
297,Kirakira,SB,80.44,overcast clouds,-10.4544,161.9205,SanBiz Lodge
304,Largo,US,84.94,scattered clouds,27.9095,-82.7873,Hampton Inn & Suites Largo
306,San Patricio,US,84.85,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
307,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
308,Humberto De Campos,BR,75.97,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
309,Fukue,JP,88.16,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
310,Gizo,SB,82.08,light rain,-8.103,156.8419,Imagination Island
311,Bac Lieu,VN,86.45,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
314,Sakakah,SA,80.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
315,Taganak,PH,89.74,broken clouds,6.0833,118.3,Taganak
317,Narsimhapur,IN,75.87,overcast clouds,22.95,79.2,Hotel Pratap Palace
318,Ca Mau,VN,81.45,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
319,Nabire,ID,84.81,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
322,Hithadhoo,MV,81.39,scattered clouds,-0.6,73.0833,Scoop Guest House
325,Port Hedland,AU,78.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
326,Suntar,RU,79.57,few clouds,62.1444,117.6319,Дом у Мамы
330,Kerema,PG,80.87,overcast clouds,-7.9631,145.7785,Frena Lodge
334,Khandyga,RU,76.17,clear sky,62.6667,135.6,Apel'sin
339,Kavaratti,IN,82.24,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
341,Loa Janan,ID,87.39,light rain,-0.583,117.095,Rumah Elys Fitria Wahyuning Tyas
346,Jalu,LY,80.38,clear sky,29.0331,21.5482,صاحبة الفخامة
347,Padang,ID,86.05,scattered clouds,-0.9492,100.3543,Mercure Padang
353,Turbat,PK,85.46,few clouds,26.0023,63.044,Mubashar Quarters
354,Mackay,AU,81.68,broken clouds,-21.15,149.2,International Lodge Motel
356,Ayorou,NE,87.08,overcast clouds,14.7308,0.9174,Hotel Amenokal
357,Hohhot,CN,82.69,few clouds,40.8106,111.6522,Sheraton Hohhot Hotel
358,Scottsbluff,US,79.03,haze,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
359,Blackwater,AU,79.29,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
362,Elat,IL,84.04,clear sky,29.5581,34.9482,Club Hotel Eilat
371,Shenjiamen,CN,80.65,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
376,Rancho Palos Verdes,US,80.67,scattered clouds,33.7445,-118.387,Terranea Resort
377,Crotone,IT,77.94,clear sky,39.0851,17.1178,Helios Hotel
378,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
379,Katsuura,JP,86.11,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
383,Harrison,US,82.06,broken clouds,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
387,Dwarka,IN,82.62,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
388,Norman Wells,CA,82.44,scattered clouds,65.282,-126.8329,Heritage Hotel
393,Tautira,PF,82.0,overcast clouds,-17.7333,-149.15,Pension Oaoa
394,Porto Novo,BJ,78.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
400,Tual,ID,81.09,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
402,Elk City,US,82.62,clear sky,35.412,-99.4043,Hampton Inn & Suites Elk City
403,Madang,PG,82.85,light rain,-5.2246,145.7966,Comfort Inn Hotel
408,Hirara,JP,89.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
414,Buchanan,LR,75.07,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
416,Bihariganj,IN,87.06,broken clouds,25.7333,86.9833,Chandika Sthan Dharmshala
421,Tura,IN,75.63,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
424,Aleksandrov Gay,RU,83.7,broken clouds,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
430,Jablah,SY,77.29,few clouds,35.3614,35.9256,مدرسة سعد بن ابي وقاص الابتدائيه
431,Contai,IN,84.65,overcast clouds,21.7786,87.7536,PATHFINDER
434,Banda Aceh,ID,84.87,overcast clouds,5.5577,95.3222,Sulthan Hotel International
435,Sibolga,ID,84.99,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
436,Upata,VE,75.2,broken clouds,8.0086,-62.3989,Posada Villa Nela
438,Kamaishi,JP,86.95,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
439,Sonoita,MX,81.54,scattered clouds,31.85,-112.8333,Hotel Nora
444,Shingu,JP,85.19,clear sky,33.7333,135.9833,Shingu UI Hotel
448,Neiafu,TO,81.28,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
450,Shuiji,CN,89.37,broken clouds,27.4214,118.345,Century Hotel
452,Sungairaya,ID,88.7,broken clouds,0.7,108.9,Mess P.Milu
464,Kulhudhuffushi,MV,82.53,broken clouds,6.6221,73.07,Hondaafushi Island Resort
466,Juegang,CN,83.59,light rain,32.3174,121.1855,Rudong Y Hotel
467,Puerto Escondido,MX,81.07,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
468,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
470,Tarakan,ID,80.1,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
472,Hobyo,SO,76.44,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
473,Bandarbeyla,SO,78.4,broken clouds,9.4942,50.8122,JABIR HOTEL
477,Rincon,US,86.86,scattered clouds,32.296,-81.2354,Days Inn Rincon
478,Riohacha,CO,80.06,scattered clouds,11.5444,-72.9072,Hotel Taroa
482,Erzin,TR,77.0,clear sky,36.9559,36.2,Artemis Otel
488,Tulsipur,NP,83.32,broken clouds,28.131,82.2973,Ekanta Hotel Pvt. Ltd
489,Kahului,US,81.66,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
493,Khor,RU,78.04,overcast clouds,47.8861,134.9464,Gostinitsa Deksi
502,Matay,EG,80.01,scattered clouds,28.419,30.7792,Nag Aespen
505,Xinmin,CN,86.29,overcast clouds,41.9908,122.8253,Agricultural Machinery Hotel
510,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
513,Blytheville,US,81.05,overcast clouds,35.9273,-89.919,Days Inn by Wyndham Blytheville
517,Afantou,GR,83.91,clear sky,36.2935,28.1623,Hotel Iris
518,Boyolangu,ID,82.02,broken clouds,-8.1181,111.8935,Yos ega cv
521,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
522,Lashio,MM,76.66,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
523,Road Town,VG,82.2,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
525,Lufilufi,WS,87.58,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
526,Matara,LK,84.13,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
528,Tanda,IN,87.15,overcast clouds,26.55,82.65,MUMTAZ GANJ TANDA
530,Portales,US,78.1,overcast clouds,34.1862,-103.3344,"Holiday Inn Express & Suites Portales, an IHG Hotel"
531,Trairi,BR,78.26,overcast clouds,-3.2778,-39.2689,janelas do mar
534,Pullman,US,89.91,overcast clouds,46.7313,-117.1796,"Holiday Inn Express & Suites Pullman, an IHG Hotel"
535,Sao Filipe,CV,75.63,overcast clouds,14.8961,-24.4956,Hotel Xaguate
538,Roswell,US,80.71,overcast clouds,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
542,Tahta,EG,80.71,scattered clouds,26.7693,31.5021,El Salam Hotel
546,Raymondville,US,84.6,clear sky,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
549,Pokhara,NP,75.78,overcast clouds,28.2333,83.9833,Butterfly Lodge
551,Carmen,MX,83.66,broken clouds,18.6333,-91.8333,Hotel Lossandes
552,Sibu,MY,88.11,few clouds,2.3,111.8167,RH HOTEL (4 Star)
553,Chiang Kham,TH,88.05,overcast clouds,19.5233,100.3,Rico Resort
566,Dir,PK,76.32,overcast clouds,35.2058,71.8756,Sindh Hotal Dir
570,Catuday,PH,82.18,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
575,Damghan,IR,76.14,overcast clouds,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
577,Loiza,PR,79.59,few clouds,18.4313,-65.8802,Malibu Beachfront
578,Catina,IT,85.51,clear sky,37.5021,15.0872,Il Principe Hotel
582,Shimoda,JP,86.11,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
584,Iracoubo,GF,77.34,clear sky,5.4802,-53.2011,Le Gîte d’Iracoubo
593,Naliya,IN,84.13,overcast clouds,23.2667,68.8333,jadeja jayendrasinh
594,Fort Morgan,US,83.05,overcast clouds,40.2503,-103.8,Hampton Inn Fort Morgan
601,Nishihara,JP,85.28,broken clouds,26.1842,127.7558,Minshuku Agaihama
609,Chengde,CN,82.67,clear sky,40.9725,117.9361,Super 8 Hotel
610,Puerto Colombia,CO,81.25,broken clouds,10.9878,-74.9547,Hotel El Emigrante
611,Invermere,CA,76.03,clear sky,50.5167,-116.0354,Copper Point Resort
620,Lazaro Cardenas,MX,75.58,overcast clouds,17.9583,-102.2,quinta antigua
622,Kapit,MY,89.53,light rain,2.0167,112.9333,Hotel Meligai Kapit
623,Lincoln,US,79.14,broken clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
625,Juybar,IR,77.65,overcast clouds,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
627,Pasighat,IN,86.29,broken clouds,28.0667,95.3333,Siang Guest House
