City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Amahai,ID,-3.3333,128.9167,83.07,73,41,5.3,scattered clouds
1,Gubkinskiy,RU,64.434,76.5026,58.37,60,83,12.66,broken clouds
2,Salisbury,GB,51.0693,-1.7957,60.1,93,77,6.49,broken clouds
3,Punta Arenas,CL,-53.15,-70.9167,37.51,75,0,23.02,clear sky
4,Fortuna,US,40.5982,-124.1573,55.92,91,90,6.91,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,72.61,79,73,8.46,broken clouds
6,Chokurdakh,RU,70.6333,147.9167,55.22,55,25,20.58,scattered clouds
7,New Norfolk,AU,-42.7826,147.0587,62.92,60,85,4.0,overcast clouds
8,Tasiilaq,GL,65.6145,-37.6368,42.96,78,17,2.95,few clouds
9,Sao Jose De Piranhas,BR,-7.1206,-38.5019,69.21,66,41,9.91,scattered clouds
10,La Ronge,CA,55.1001,-105.2842,70.05,49,40,3.44,smoke
11,Albany,US,42.6001,-73.9662,58.87,82,0,5.21,clear sky
12,Raudeberg,NO,61.9875,5.1352,54.27,83,93,13.94,overcast clouds
13,Tiksi,RU,71.6872,128.8694,48.54,71,72,4.32,broken clouds
14,Ushuaia,AR,-54.8,-68.3,35.26,69,40,3.44,scattered clouds
15,Dom Pedrito,BR,-30.9828,-54.6731,40.15,82,0,5.88,clear sky
16,Hobart,AU,-42.8794,147.3294,63.27,56,75,4.0,broken clouds
17,Hilo,US,19.7297,-155.09,74.93,88,90,5.75,haze
18,Dire Dawa,ET,9.5931,41.8661,67.95,72,97,16.71,overcast clouds
19,Ayolas,PY,-27.4,-56.9,44.64,72,37,5.73,scattered clouds
20,Busselton,AU,-33.65,115.3333,55.04,58,81,14.92,broken clouds
21,Hailar,CN,49.2,119.7,66.92,86,90,15.77,overcast clouds
22,Vaini,TO,-21.2,-175.2,77.16,88,75,20.71,moderate rain
23,Mahibadhoo,MV,3.7833,72.9667,82.53,72,99,5.06,overcast clouds
24,Bethel,US,41.3712,-73.414,68.58,72,1,4.61,clear sky
25,Addanki,IN,15.8167,79.9833,86.05,53,100,13.42,overcast clouds
26,Husavik,IS,66.0449,-17.3389,39.11,63,1,2.66,clear sky
27,College,US,64.8569,-147.8028,73.38,58,1,0.0,clear sky
28,Deputatskiy,RU,69.3,139.9,69.42,38,51,23.85,broken clouds
29,Hubli,IN,15.35,75.1667,73.44,88,75,14.97,light intensity drizzle
30,Vila Velha,BR,-20.3297,-40.2925,64.35,63,0,8.05,clear sky
31,Freeport,US,40.6576,-73.5832,71.56,53,0,3.0,clear sky
32,Bani,DO,18.2833,-70.3333,78.75,84,16,9.53,few clouds
33,Saint-Philippe,RE,-21.3585,55.7679,65.79,70,22,9.57,few clouds
34,Komsomolskiy,UZ,40.4272,71.7189,84.92,23,25,4.61,scattered clouds
35,Haines Junction,CA,60.7522,-137.5108,71.55,23,36,10.36,scattered clouds
36,Cockburn Town,TC,21.4612,-71.1419,82.33,82,2,19.35,clear sky
37,Ballina,AU,-28.8667,153.5667,73.44,46,0,6.91,clear sky
38,Aksu,CN,41.1231,80.2644,88.81,19,100,3.04,overcast clouds
39,Bluff,NZ,-46.6,168.3333,49.8,93,100,2.84,light rain
40,Pevek,RU,69.7008,170.3133,33.6,85,100,2.84,overcast clouds
41,Narsaq,GL,60.9167,-46.05,61.02,79,100,1.21,overcast clouds
42,Kaitangata,NZ,-46.2817,169.8464,56.93,80,100,0.6,moderate rain
43,Ust-Tsilma,RU,65.441,52.1498,55.92,63,100,6.85,overcast clouds
44,Mataura,NZ,-46.1927,168.8643,49.48,99,100,0.6,overcast clouds
45,Quatre Cocos,MU,-20.2078,57.7625,69.91,70,62,16.73,broken clouds
46,Cidreira,BR,-30.1811,-50.2056,51.55,77,0,11.41,clear sky
47,Salalah,OM,17.0151,54.0924,77.09,94,90,10.36,overcast clouds
48,Makakilo City,US,21.3469,-158.0858,84.52,59,75,11.5,broken clouds
49,Te Anau,NZ,-45.4167,167.7167,45.75,96,100,1.61,moderate rain
50,San Miguel,SV,13.4833,-88.1833,78.49,77,85,2.19,overcast clouds
51,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,90,54,3.36,broken clouds
52,Shirokiy,RU,49.758,129.523,73.42,81,99,18.03,moderate rain
53,Kapaa,US,22.0752,-159.319,85.98,69,20,1.99,few clouds
54,Esperance,AU,-33.8667,121.9,55.24,62,18,23.0,few clouds
55,Gombong,ID,-7.6072,109.5142,87.84,68,60,9.86,broken clouds
56,Noumea,NC,-22.2763,166.4572,71.58,53,74,17.29,broken clouds
